"index","product_name_en","coicop_1","coicop_2","coicop_3"
643,"Men's jackets",3,1,2
644,"Girl dress",3,1,2
645,"Other masonry materials",4,3,1
646,"Garden eggs ",1,1,7
647,"Whole or skimmed milk powder",1,1,4
648,"Assorted cheeses",1,1,4
649,"Yogurt with accessories",1,1,4
650,"flavoured milk (chocolate milk strawberry milk flavoured?)",1,1,4
651,"Milk powder",1,1,4
652,"Expenses on repairing of durable goods related to recreation and culture",9,1,5
653,"Any other condiments (specify)",1,1,9
654,"television sets",9,1,1
655,"Expenses on gambling (service charges for lotteries, totalizators, casinos, poker clubs and other gambling establishments)",9,4,2
656,"Newspapers (other international) ",9,5,2
657,"Sorghum flour",1,1,1
658,"Milk tinned",1,1,4
659,"Cheese (wara)",1,1,4
660,"Boy's jackets",3,1,2
661,"Night's lodging in rest house or hotel",11,2,0
662,"Books (not for school)",9,5,1
663,"Stationery items (not for school)",9,5,4
664,"Other milk products(specify)",1,1,4
665,"Milk Sour - Packeted Mala",1,1,4
666,"Corn in paste",1,1,1
667,"UNDISAGGREGATED EXPENDITURE ON ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTIC DRUGS",2,0,0
668,"RENTAL OF THE MAIN RESIDENCE",4,1,1
669,"COMMON EXPENSES FIRST HOME",4,1,1
670,"GAS SERVICE THROUGH THE FIRST HOME NETWORK",4,5,2
671,"Photo processing",9,1,5
672,"Purchasing of eggs for ceremonies",1,1,4
673,"Daily expenses (Collective room), public hospital or",12,4,3
674,"Tickets for sports / entertainment events",9,4,1
675,"CLEANING PRODUCTS FOR CLOTHES",5,6,1
676,"EXPENDITURE NOT BROKEN DOWN INTO FURNITURE, HOUSEHOLD GOODS AND ORDINARY HOUSEHOLD MAINTENANCE",5,6,0
677,"LENS AND LENS FRAMES",12,1,3
678,"IMAGING RADIOLOGICAL EXAMINATIONS (SIMPLE AND COMPLEX EXAMINATIONS)",6,1,3
679,"Personal care service for males (old)",12,1,4
680,"PETROL",7,2,2
681,"MULTIMODAL TRANSPORT SERVICE",7,3,5
682,"PET FOOD",9,3,4
683,"CULTURAL SERVICES PROVIDED BY THEATRES, STADIUMS AND CONCERT HALLS",9,4,2
684,"CONTRACT TV SERVICE MAIN RESIDENCE",8,3,0
685,"PAPERS, ENVELOPES, NOTEBOOKS",9,5,4
686,"Night's lodging in hotel",11,2,0
687,"Paraffin lamp (hurricane or pressure)",4,5,4
688,"Linen - towel, sheets, blankets",5,2,0
689,"Funeral costs, nonhousehold members (relatives, neighbors/friends)",13,0,0
690,"Carpet, rugs, drapes, curtains",5,1,2
691,"Cement",4,3,1
692,"Losses to theft (value of items or cash lost)",13,0,0
693,"Mattress",5,1,1
694,"Indoor plants, fresh flowers",9,3,3
695,"Bricks",4,3,1
696,"Council rates",4,4,4
697,"Fines or legal fees",13,0,0
698,"UNDISAGGREGATED EXPENDITURE ON RECREATION AND CULTURE",9,0,0
699,"MAIN COURSE FOR LUNCH AND DINNER EATEN IN RESTAURANTS AND THE LIKE",11,1,1
700,"Other fresh milk and cream, excluding whole specifically, and excluding nondairy substitutes",1,1,4
701,"Capitula (or panties)",3,1,2
702,"Vet services",9,3,5
703,"White bread",1,1,1
704,"Brown bread",1,1,1
705,"Postage",8,1,0
706,"Shirt, panties, boy",3,1,2
707,"Mosquito net",5,5,2
708,"Water and sewerage maintenance",4,4,3
709,"Video",9,1,4
710,"Suit (trousers and jacket)",3,1,2
711,"Tents of the trips",9,3,2
712,"Equipment bodybuilding an",9,3,2
713,"Other (collection of coin",9,3,3
714,"Rental and repair of sports, photographic and music equipment, passport fees",9,1,5
715,"Books and pamphlets",9,5,1
716,"Posters, greeting cards,",9,5,4
717,"Local newspapers",9,5,2
718,"Mat - sleeping or for drying maize flour",5,2,0
719,"Construction timber",4,3,1
720,"Lobola (bridewealth) costs",13,0,0
721,"Tuna (fresh/frozen) , large fish (size of a full arm or bigger)",1,1,3
722,"Marriage ceremony costs",13,0,0
723,"Funeral costs, household members",13,0,0
724,"Insurance - health (MASM, etc.), auto, home, life",12,5,0
725,"Sports & hobby equipment, musical instruments, toys",9,3,2
726,"Film, film processing, camera",9,1,5
727,"Grass for thatching roof or other use",4,3,1
728,"Woodpoles, bamboo",4,3,1
729,"READY-TO-EAT SANDWICHES, PIZZAS AND EMPANADAS, SOLD IN SUPERMARKETS, WAREHOUSES AND THE LIKE",11,1,1
730,"READY-TO-EAT PACKAGED SWEET PRODUCTS PURCHASED FROM STREET VENDORS AND VENDING MACHINES",11,1,1
731,"Nondairy cream and imitation milk",1,1,4
732,"Other medical analyses n.e.a.",6,1,3
733,"Software video games",9,1,4
734,"INSTRUMENTAL BOX",5,5,2
735,"Girls' underwear and sleepwear",3,1,2
736,"Lotteries and pari-mutuel losses",9,4,2
737,"Women''s vests and sweaters",3,1,2
738,"Garlic bread",1,1,1
739,"Whole wheat bread",1,1,1
740,"Gasoline",7,2,2
741,"Girls' hosiery",3,1,2
742,"butter anchor",1,1,5
743,"Margarine",1,1,5
744,"Checking accounts, other bank service charges",12,6,2
745,"Sausage",1,1,2
746,"Bologna, liverwurst, salami",1,1,2
747,"Margarine",1,1,5
748,"Includes any non-frozen prepared desserts not priced elsewhere in Food at Home. Items generally include refrigerated or shelf-stable packaged desserts.",1,1,8
749,"Rent",4,1,1
750,"Butter",1,1,5
751,"Dry cleaning, bleaching and dyeing of men's clothes",3,1,4
752,"Other fats nes (lard, lard, margarine, etc.)",1,1,5
753,"Salt, spices, other seasonings",1,1,9
754,"Baby food",1,1,9
755,"Artisanal or industrial fruit juice",1,2,2
756,"Men's Underwear ",3,1,2
757,"Women's Sports Shoes ",3,2,1
758,"Wardrobe, sideboard, dresser, shelves",5,1,1
759,"Food And Non-Alcoholic Beverages - Food - Oils and fats - Edible oils (excludes cod or halibut liver oil)",1,1,5
760,"DIVING FINS; MASK - DIVING; FINS ( MOODHAHEREN); DIVE MASK; FINS",9,3,2
761,"Garden supplies and services - Interview",9,3,3
762,"PAINTING BRUSH",5,5,2
763,"CALENDAR; CALENDER",9,5,4
764,"Printing",9,5,4
765,"White bread",1,1,1
766,"Biscuits and rolls",1,1,1
767,"Crackers",1,1,1
768,"White bread",1,1,1
769,"Bread, other than white",1,1,1
770,"sweet banana",1,1,6
771,"Frozen vegetables",1,1,7
772,"Vehicle insurance",12,5,3
773,"READY-TO-EAT SANDWICHES, PIZZAS, EMPANADAS AND THE LIKE, PURCHASED FROM STREET VENDORS AND VENDING MACHINES",11,1,1
774,"READY-TO-DRINK NON-ALCOHOLIC BEVERAGES, PURCHASED FROM STREET VENDORS AND VENDING MACHINES",11,1,1
775,"Shawls, tie",3,1,2
776,"Physician's services",6,2,1
777,"Pet services",9,3,5
778,"Dried fish",1,1,3
779,"Hiring of clothes",3,1,4
780,"Personal care service for females (old)",12,1,4
781,"Hospital care not specified",6,3,0
782,"Children's Winter clothes",3,1,2
783,"Other alcoholic beverages at full service restaurants",11,1,1
784,"Homeowners insurance",12,5,1
785,"Parts, equipment, and accessories",7,2,1
786,"Vehicle registration",7,2,4
787,"Newsletters",9,5,2
788,"can of tuna",1,1,3
789,"LUNCH AND DINNER BOTH TAKEAWAY AND DELIVERY, PURCHASED IN RESTAURANTS AND THE LIKE",11,1,1
790,"Smoked fish/ Yemeni fish/ grilled fish",1,1,3
791,"Canned fish and seafood",1,1,3
792,"Material for Women's skirt ",3,1,1
793,"Utility - natural gas",4,5,2
794,"Ladies Underwear ",3,1,2
795,"Academic fees, higher education or public university",10,4,0
796,"Ladies jacket/coat/sweater/cardigan ",3,1,2
797,"Other ladies clothing ",3,1,2
798," Pastry",1,1,1
799,"Cotton fabrics for childr",3,1,1
800,"Woolen fabrics for childr",3,1,1
801,"Clothing accessories (purses, hats, wallets)",3,1,3
802,"Products for making clothes (fabrics, yarns, wool)",3,1,1
803,"Imputed rent",4,2,1
804," White bread",1,1,1
805,"Sweetened or unsweetened condensed whole milk",1,1,4
806,"Other roast",1,1,2
807,"Unprocessed liquid fresh milk",1,1,4
808,"Food And Non-Alcoholic Beverages - Food - Oils And Fats - 115038",1,1,5
809,"Food And Non-Alcoholic Beverages - Food - Oils And Fats - 115040",1,1,5
810,"Date",1,1,6
811,"Canned miscellaneous vegetables",1,1,7
812,"Candies, chewing gum, honey",1,1,8
813,"Salad dressings",1,1,9
814,"Instant and freeze dried coffee",1,2,1
815,"Sports drinks",1,2,2
816," Potato",1,1,7
817,"Tomato concentrate",1,1,7
818," Pirina~",1,1,1
819," Yeast",1,1,9
820,"Kindergarten fee and registration for 2 to 4 years old",10,1,0
821,"UNDISAGGREGATED EXPENDITURE ON RESTAURANTS AND HOTELS",11,0,0
822,"TOILET PAPER",12,1,3
823,"BANKING INSTITUTION FEES",12,6,2
824,"ADMINISTRATIVE COSTS OF PRIVATE PENSION FUNDS AND SIMILAR SERVICES",12,6,2
825,"RICE",1,1,1
826,"DE-IDENTIFIED AND OTHER COOKIES",1,1,8
827,"CAKES AND SWEET DOUGHS, SMALL OR BY POTION",1,1,8
828,"Household services (tailoring, dry cleaning, shoe and clothing repairs, etc.)",12,1,4
829,"Preschool tariff and tuition",10,1,0
830,"WHEAT FLOUR",1,1,1
831,"School uniforms",3,1,2
832,"Miscellaneous supplies and equipment, such as caulking compound, duct tape, carpet tape, carpet knife, bolts, screws, drill bits, door knobs, tool box, keys, mailbox, gutter screens, clamps, shelf brackets, tool table, work bench, etc…",5,5,2
833,"Misc. auto repair, servicing",7,2,3
834,"Arakjan",1,1,9
835,"Lube, oil change, and oil filters",7,2,3
836,"Motor repair, replacement",7,2,3
837,"Vehicle inspection",7,2,4
838,"Topicals and dressings",6,1,3
839,"Medical equipment for general use",6,1,3
840,"Social, recreation, health club membership",9,3,2
841,"Computer information services",8,3,0
842,"Dishdasha",3,1,2
843,"Headband",3,1,3
844,"Children's clothing and children's underwear",3,1,2
845,"Special education fees and tuition",10,5,0
846,"Cash gifts",13,0,0
847,"Men's Outerwear",3,1,2
848,"Pajamas",3,1,2
849,"Men cotton fabrics",3,1,1
850,"APPAREL, FOOTWEAR, AND CLOSE THE HEAD",3,0,0
851,"BREAKFAST CEREALS",1,1,1
852,"Boy's Swimming costumes",3,1,2
853," Beef meat",1,1,2
854,"Other preserves (sardines, crabs, shrimps, etc.)",1,1,3
855,"Eggs",1,1,4
856,"coconut oil",1,1,5
857,"Vanaspati, margarine",1,1,5
858,"Butter",1,1,5
859,"Margarine",1,1,5
860," Coffee (raw, roasted, ground)",1,2,1
861,"Dried beans/ lentils",1,1,7
862,"fresh onion",1,1,7
863,"Other edible animal fats",1,1,5
864,"Food And Non-Alcoholic Beverages - Food - Oils and fats - Peanut butter",1,1,8
865,"Fats and oils",1,1,5
866,"Food And Non-Alcoholic Beverages - Food - Oils and fats - Butter",1,1,5
867," Apples",1,1,6
868," Cherries, fresh, frozen",1,1,6
869,"Repair of textile household items",5,6,2
870,"LEAN BEEF CUT",1,1,2
871,"Laundry and cleaning equipment",5,6,2
872,"Computer courses",10,5,0
873,"Infant underwear",3,1,2
874,"Artistic teaching (dances, guitar, painting, singing, etc.)",10,5,0
875,"Other non-formal education courses (cooking, pastry, cutting and tailoring, hairdressing, handicrafts, etc.)",10,5,0
876," [lag, pudding, etc.",1,1,8
877," Cigarettes",2,2,0
878,"PORK CUT CHOP",1,1,2
879," Food at work, at school",11,1,1
880,"CHICKEN BREAST",1,1,2
881," Wine",2,1,2
882," A beer",2,1,3
883,"WHOLE CHICKEN",1,1,2
884,"MEAT OF OTHER POULTRY N.E.C.",1,1,2
885,"Leather shoes",3,2,1
886,"Women's sandal",3,2,1
887,"Ketch and other school shoes",3,2,1
888,"Children's shoes",3,2,1
889,"Leather shoes",3,2,1
890,"OTHER FRESH SAUSAGES",1,1,2
891,"LITTLE MAID UNIFORM; BAND UNIFORM; CADET UNIFORM; DHIVEHI, ENGLISH DAY AH HEDHUN FEHUN, LITTEMAID UNIFORM; GUIDE UNIFORM COMPLETE KURUMAH; SCOUT UNIFORM STUFFS",3,1,2
892,"Children's Slippers",3,2,1
893,"Expenditure on ready-made/made-to-measure clothing for children/teenagers",3,1,2
894,"Expenses made on clothing and footwear made by household members and distinguish both the sex of the household members and their different age groups.",3,1,2
895," Mineral (carbonated/non-carbonated) water",1,2,2
896,"Accessories, watches, jewellery and athletic footwear",12,3,1
897,"UNIDENTIFIED SOLID CHEESES AND OTHER TYPES N.E.C.",1,1,4
898,"CHREDDED CHEESE",1,1,4
899,"Shopping for women's shoes",3,2,1
900,"Other (clog slippers .. e",3,2,1
901,"Children's footwear: leather boots",3,2,1
902,"Children's footwear: leather shoes",3,2,1
903,"Other beef",1,1,2
904," MARGARINE",1,1,5
905,"708. Oils (processed)",1,1,5
906,"NUTS",1,1,6
907,"BROCCOLI",1,1,7
908,"CORN",1,1,1
909,"PACKAGED FRENCH FRIES",1,1,7
910,"SUGAR",1,1,8
911,"CHOCOLATES OF ALL KINDS",1,1,8
912,"POWDERED DESSERTS",1,1,8
913,"COFFEE",1,2,1
914,"Groundnuts Oil",1,1,5
915,"WHISKY",2,1,1
916,"Other oil and Fat(specify)",1,1,5
917,"Animal fat",1,1,5
918,"biscuits chocolate 'oreo'",1,1,8
919,"Canned and packaged soups",1,1,9
920," Instant soups",1,1,9
921,"Any other aracanuts (specify)",1,1,6
922," Carbonated and still juices",1,2,2
923,"Women's accessories",12,3,2
924," Other alcoholic beverages",2,1,1
925,"Children's footwear: Sandals and leather flops",3,2,1
926,"Children's footwear: Non Leather Shoes",3,2,1
927,"Children's footwear: Sandals and Non -Leather Cindlets",3,2,1
928,"Children's footwear: rubber boots",3,2,1
929,"Children's footwear: not leather or rubber boots",3,2,1
930,"Children's Footwear: Deportivo",3,2,1
931,"MEN'S SWEATSHIRTS AND VESTS",3,1,2
932,"Espadrilles",3,2,1
933,"Other classes fee",10,5,0
934,"WOMEN'S SWEATSHIRTS AND VESTS",3,1,2
935,"Footwear repair",3,2,2
936,"Footwear rental, (not sports)",3,2,2
937,"Fuel oil",4,5,3
938,"MEN'S PANTS & JEANS",3,1,2
939,"SWEATSHIRTS (SWEATSHIRT AND SWEATSHIRT), SHORTS AND SHORTS FOR CHILDREN",3,1,2
940,"Funds for washing and maintenance of floors, furniture, bathroom, windows",5,6,2
941,"Laundry and maintenance agents (detergents, softens and figures, etc.)",5,6,2
942,"Vehicle repair",7,2,3
943,"Fuel and lubricant for vehicles",7,2,2
944,"Parts for vehicles",7,2,1
945,"SPORTSWEAR SCHOOL WEAR",3,1,2
946,"SCHOOL UNIFORMS WITHOUT BREAKDOWN",3,1,2
947,"YARNS, WOOLS AND OTHER TYPES OF RELATED PRODUCTS",3,1,1
948,"WOMEN'S BOOTS, ANKLE BOOTS AND ANKLE BOOTS",3,2,1
949,"CHILDREN'S BOOTS, ANKLE BOOTS AND ANKLE BOOTS",3,2,1
950,"Men's hosiery",3,1,2
951,"SCHOOL SHOE",3,2,1
952,"OTHER SNEAKERS N.E.C.",3,2,1
953,"Other bread loaves",1,1,1
954,"Men''s sweaters and vests",3,1,2
955,"Men''s shirts",3,1,2
956,"Men's pants and shorts",3,1,2
957,"Men's footwear",3,2,1
958,"Newspapers and ~ Ascriptions",9,5,2
959,"Women's active sportswear",3,1,2
960,"Camping equipment",9,3,2
961,"Fees for participant sports",9,4,1
962,"Admission to sporting events",9,4,1
963,"Brake adjustment (old)",7,2,3
964,"Athletic gear, game tables, and exercise equipment",9,3,2
965,"Mortgage payment including coop",4,2,1
966,"Babysitting and child care",12,4,1
967,"Men's underwear",3,1,2
968,"Boys' coats and jackets",3,1,2
969,"Food, Medicines and other costs for households",13,0,0
970," Pork fat, lard, tallow",1,1,5
971,"Citrus – naartje, orange, etc",1,1,6
972,"Groundnut Dried (UnShelled)",1,1,6
973," Tobacco",2,2,0
974," Brandy",2,1,1
975," Cocoa",1,1,8
976,"Creams, powders and {minka",12,1,3
977,"Toilet paper and hygiene insert",12,1,3
978,"Pasta and cleanses for teeth",12,1,3
979," Sheep and goats",1,1,2
980,"Groundnut Fresh (UnShelled)",1,1,6
981,"IMPUTED RENT OF THE MAIN RESIDENCE ONLY FOR OWNERS",4,2,1
982,"DRINKING WATER SERVICE FIRST HOME",4,4,1
983,"FIRST HOME GARBAGE COLLECTION SERVICE",4,4,2
984,"FIRST HOME ELECTRICITY SERVICE",4,5,1
985,"CHARCOAL",4,5,4
986,"DISH AND POT CLEANING PRODUCTS",5,6,1
987,"Secondary school fees (8-10)",10,2,0
988,"ITEMS FOR CLEANING DISHES AND POTS",5,6,1
989,"Woolen, synthetic, silk and cotton fabric, materials",3,1,1
990,"ANTI-INFECTIVES",6,1,1
991,"Secondary school tution fees (8-10)",10,2,0
992,"Higher secondary school tution fees (11-12)",10,2,0
993,"CARDIOVASCULAR SYSTEM",6,1,1
994,"NERVOUS SYSTEM",6,1,1
995,"Spending on primary school trips in Italy",10,1,0
996,"primary school fees",10,1,0
997,"Subscription for the Internet",8,3,0
998,"Boys'' shirts",3,1,2
999,"CONSULTATIONS OF HEALTH PROFESSIONALS IN CLINICS, PRIVATE OR SEMI-PUBLIC ESTABLISHMENTS",6,2,1
1000,"Bread rolls",1,1,1
